Id;CategoryId(БЕРИ ID`ШНИКИ ИЗ 2 ЛИСТА ВНИЗУ);Name;Description (описание);Color(red и т.п на английском);ImageLink (НазваниеФайла.png) <-- в скобках пример;Cost (Цена)
1;1;Леандер;Роза Леандер отличается обильным повторным цветением. Она начинает радовать своими яркими и ароматными цветами уже в июне и продолжает это до самого конца лета, до сентября. Каждый стебель может содержать от 5 до 10 соцветий, что делает её очень эффектной на клумбе или в групповых посадках.;Yellow;http://rosesrus.ucoz.ru/_fr/0/6768712.jpg;250
2;1;Блю Ривер;Роза срезочная и очень душистая, сохраняющая свой аромат даже после высушивания соцветий, долго стоящая в букетах и прекрасно подходящая для флористики. Являясь самым эффектным и сравнительно выносливым по сравнению с другими голубыми розами сортом, «Голубая река» может похвалиться долгим периодом цветения, красотой и размерами отдельных цветков, которые на достаточно скромных кустиках кажутся просто огромными.;Pale lavender;https://cdn.botanichka.ru/wp-content/uploads/2015/08/Rosa_Blue_River_04.jpg;350
3;1;Белый медведь;Роза “Белый медведь” -  это один из красивейших сортов белых роз, который отличается своей пышностью, элегантностью и морозостойкостью. Этот сорт был выведен для того, чтобы радовать людей своей красотой и ароматом в любых климатических условиях. Цветки розы “Белый медведь” имеют чисто-белый цвет, что делает их идеальным выбором для создания свадебных букетов, декораций и просто украшения сада или дома.;White;https://oir.mobi/uploads/posts/2021-04/1618324604_6-oir_mobi-p-roza-belii-medved-tsveti-krasivo-foto-6.jpg;300
4;1;Черный принц;Обильное и практически непрерывное цветение многолетника наблюдается с конца весны до заморозков. Цветы крупные, густомахровые, чашевидной формы, с хорошо заполненной серединой. Появляются по 1-3 (реже по 5 шт.) на концах длинных (80-90 см) цветоносов из бокаловидных бутонов. Состоят из 40-50 бархатистых, плотных, слегка заостренных лепестков с подкрученными краями. В стадии полного роспуска достигают 10-12 см в диаметре, а в благоприятных условиях до 15 см при высоте бокала 8-9 см.;Bardic;https://stroy-podskazka.ru/images/knowledge/orig/2021/10/chernyj-princ.jpg;400
5;2;Крансая шапочка;Цветок достигает высоты 70-80 см, размер корзинок около 10 см. Сроки цветения ― июль-октябрь. Хризантема «Красная Шапочка» Хризантема Липстик ― низкорослый гибрид корейской группы. Кусты крепкие, с густой серебристо-зеленой листвой, шапочки пышные, махровые яркого темно-красного цвета. Побеги редко вырастают больше 40 см, корзинки не превышают 6 см. Бутоны распускаются с сентября по ноябрь.;Red;http://data10.gallery.ru/albums/gallery/94022-f5014-25013144-.jpg;200
6;2;Белая ромашка;Крупноцветковый махровый сорт хризантемы, который может достигать высоты до 90 см. Цветки этого растения имеют белоснежный окрас и густую махровость, что придает им особый шарм. Период цветения “Белой ромашки” начинается в конце лета и продолжается до начала осени, что делает ее отличным выбором для украшения сада. Для успешного выращивания этого сорта хризантемы необходимо солнечное место и хорошо дренированная почва, а также умеренный полив.;White;https://melikedacha.ru/wp-content/uploads/4/f/6/4f6b7c44cc279be66fd1d1ef5f480f12.jpeg;150
7;2;Алек Бедсер;Этот сорт цветов относится к крупноцветковым хризантемам, его диаметр может достигать 15 см. Лепестки имеют насыщенный красный цвет, который напоминает о знаменитом цвете волос актера. Цветение начинается в конце сентября и продолжается до первых заморозков. Это время, когда природа начинает готовиться к зиме, и эти цветы становятся яркими акцентами на фоне желтых листьев и серого неба.;Yellow;http://s1.1zoom.ru/big7/891/Chrysanthemums_Closeup_394787.jpg;300
8;2;Дальневосточница;Хризантема имеет очень красивые и яркие цветы, которые могут быть разных оттенков - от белого до ярко-желтого. Она также известна своими длинными и тонкими листьями, которые придают ей особый шарм. Этот цветок растет на Дальнем Востоке уже много лет и является символом этого региона. Он также используется в народной медицине для лечения различных заболеваний, таких как простуда, грипп и другие вирусные инфекции.;Violet;https://botsad.ru/media/plantsets/images/2015/04/03/%D0%94%D0%B0%D0%BB%D1%8C%D0%BD%D0%B5%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D1%87%D0%BD%D0%B8%D1%86%D0%B0.jpg;250
9;3;Дюшес де Немур;Махровые соцветия диаметром 15–20 см образуют нечто наподобие короны. Это придает кустам большой объем и делает их визуально очень пышными. Цвет соцветий – молочно-белый, бывает с легким зеленоватым отливом. В центре бутона окрас мягко-желтого или кремового цвета. Такая цветовая гамма придает цветкам невероятную легкость, нежность и воздушность. Поверхность лепестков гладкая.;White;https://i.pinimg.com/originals/fc/5b/97/fc5b9755ac038f9d942f4ab35d59eaed.jpg;400
10;3;Селебрити;Многочисленные тонкие лепестки расположены в центральной части соцветия, они окрашены в сочно-розовые и беловато-кремовые тона. Эту пышную шапочку обрамляют крупные малиновые лепестки, напоминающие по форме анемону. Такое сочетание создает эффект причудливой мозаики, которая так и притягивает восхищенные взгляды.;Pink;https://sad-express24.ru/image/cache/catalog/tovar-images/i/ol/pb/0f857268840a034d6a7605c5194f435f-1000x1000.jpg;350
